datetime,hpbl,L,V_SIGMA,USTAR,wind_speed,wind_dir,Subset
2017-08-29 01:00:00,168.0622783,11.66843036,0.2683281572999748,0.132613695,2.358905116,126.1725049,FI_Test_Data
2017-08-29 02:00:00,145.454243,29.59263797,0.293598365118064,0.151215718,2.640149005,158.6826068,FI_Test_Data
2017-08-29 03:00:00,122.8462077,3.405268507,0.103440804327886,0.059,1.826278369,181.8034668,FI_Test_Data
2017-08-29 04:00:00,109.20907489666666,9.878611707,0.1830300521772312,0.108864603,2.076591229,177.6834423,FI_Test_Data
2017-08-29 05:00:00,95.57194209333332,7.513520576,0.18,0.104308696,1.868718217,171.2160561,FI_Test_Data
2017-08-29 06:00:00,81.93480929,126.6805898,0.3660115722214258,0.240241433,3.774830945,251.1893694,FI_Test_Data
2017-08-29 07:00:00,135.25225162666666,100.6210404,0.4027626459839591,0.258024379,3.167540001,288.4168345,FI_Test_Data
2017-08-29 08:00:00,188.56969396333332,-23513.5042,0.735754240898413,0.368142422,5.399585606,298.9198477,FI_Test_Data
2017-08-29 09:00:00,241.8871363,1025.693518,1.0076286498507274,0.542741442,7.491923499,300.8307298,FI_Test_Data
2017-08-29 10:00:00,213.6669554,11259.75615,0.991119099805871,0.568347918,7.923180821,305.4144122,FI_Test_Data
2017-08-29 11:00:00,185.4467745,-1574.97899,0.9507298974998104,0.622366014,7.345583327,308.4851833,FI_Test_Data
2017-08-29 12:00:00,157.2265936,-611.3593485,0.9265196824676744,0.582979695,6.863812817,306.0707623,FI_Test_Data
2017-08-29 13:00:00,236.2532135333333,-310.1591652,0.849618299002558,0.438544032,6.078588886,310.0703235,FI_Test_Data
2017-08-29 14:00:00,315.2798334666667,-246.6844343,0.8490209555717692,0.401266114,6.646875158,307.70636,FI_Test_Data
2017-08-29 15:00:00,394.3064534,-92.71199084,0.8232224243787337,0.4686564,5.758821031,309.184188,FI_Test_Data
2017-08-29 16:00:00,423.44425086666666,-82.90091292,0.8520570602958466,0.415884256,5.157163953,312.8107804,FI_Test_Data
2017-08-29 17:00:00,452.5820483333333,-73.58817487,0.6640046031466951,0.379866064,5.482725433,303.0147484,FI_Test_Data
2017-08-29 18:00:00,481.7198458,-92.85073135,0.7302811800943524,0.273473717,4.527748407,312.7310792,FI_Test_Data
2017-08-29 19:00:00,517.2776506666667,-136.7902387,0.5949720682519474,0.321355924,3.829334394,308.1974667,FI_Test_Data
2017-08-29 20:00:00,552.8354555333333,-130.9081805,0.6470946260014836,0.337977141,3.81105473,319.2472689,FI_Test_Data
2017-08-29 21:00:00,588.3932604,-186.3258776,0.4181540840407995,0.205285968,3.313097744,312.7097522,FI_Test_Data
2017-08-29 22:00:00,591.2862994000001,317.9386215,0.558320275469197,0.283485739,4.026981605,324.8087961,FI_Test_Data
2017-08-29 23:00:00,594.1793384,113.7314496,0.407894740098472,0.236612005,3.198223435,329.6268365,FI_Test_Data
2017-08-30 00:00:00,597.0723774,88.1367166,0.3211927147368071,0.186192189,2.776012599,314.7752459,FI_Test_Data
2017-08-30 01:00:00,550.8960812,328.6954851,0.5408394133197025,0.336763855,4.752764992,334.1440764,FI_Test_Data
2017-08-30 02:00:00,504.719785,117.544854,0.4187690998629197,0.218735287,3.211297481,341.4201933,FI_Test_Data
2017-08-30 03:00:00,458.5434888,383.6446618,0.6045797035958121,0.402167046,4.888727727,342.7838468,FI_Test_Data
2017-08-30 04:00:00,426.0582748,198.2480201,0.4927353721826757,0.326899519,4.068668201,346.3897682,FI_Test_Data
2017-08-30 05:00:00,393.5730608,45.93635276,0.3992321692950106,0.185063107,3.030044606,359.3703456,FI_Test_Data
