datetime,hpbl,L,V_SIGMA,USTAR,wind_speed,wind_dir,canopy_height,Subset
2017-06-23 15:00:00,321.0500847,-40.91328060271705,1.062623300322732,0.4713448850999683,5.240247532486546,112.4651984250245,0.09907506232533819,N/A
2017-06-23 16:00:00,428.7179539333334,-46.94893717033343,1.14790488336303,0.4763753237051015,5.730934460572019,119.63537557419458,0.09909453396950678,N/A
2017-06-23 17:00:00,536.3858231666667,-39.63034053740642,0.991712692588194,0.4302985698235931,5.149514273067362,118.90756618310566,0.09911400561367531,N/A
2017-06-23 18:00:00,644.0536924,-10.495184532745768,0.968923726902134,0.2669336270452802,3.0185760678300344,141.1223921369505,0.09913347725784384,N/A
2017-06-23 19:00:00,825.9767199333334,-16.04348624449379,1.155105527433392,0.2818310276001163,3.2146960159613567,123.0822512549404,0.0991529489020124,N/A
2017-06-23 20:00:00,1007.8997474666668,-25.87730872991369,0.6657990182220183,0.3212170723848483,3.4448506830294208,93.36582973947058,0.09917242054618097,N/A
2017-06-23 21:00:00,1189.822775,-39.9383465179914,1.0023876562376708,0.3141256496504325,3.3543903546117466,84.21051853360945,0.0991918921903495,N/A
2017-06-23 22:00:00,1666.479564,-30.23666321651086,0.532328199851737,0.2574165867120044,2.8156386883306035,96.3081222496049,0.09921136383451805,N/A
2017-06-23 23:00:00,2143.136353,-96.5814541020015,0.4971087495792405,0.2792486075007688,3.393920269603809,99.48525577554432,0.09923083547868661,N/A
2017-06-24 00:00:00,2619.793142,924.6262709765326,0.4102238505449351,0.2620254443433754,3.1626582070204607,96.17113063337348,0.09925030712285514,N/A
2017-06-24 01:00:00,1855.5848983666665,81.63716916113023,0.4436152270517751,0.2046679716006434,2.5492513420516896,113.63331147859844,0.09926977876702368,N/A
2017-06-24 02:00:00,1091.3766547333332,5.866390918122806,0.3787287284648263,0.0708356895272707,1.444212576329888,98.40290944061978,0.09928925041119223,N/A
2017-06-24 03:00:00,327.1684111,3.1229189787227214,0.9142779999657412,0.0851771145529371,1.224738760292286,210.9387528191111,0.09930872205536076,N/A
2017-06-24 04:00:00,246.63932369000003,-68.34672908779685,2.707187220390359,0.5362685780643551,4.633961888840886,301.24086719468943,0.09932819369952933,N/A
2017-06-24 05:00:00,166.11023628,-885.1951835273519,0.9815951663882668,0.4554235237391679,5.647114796775661,341.7491628346915,0.09934766534369786,N/A
2017-06-24 06:00:00,85.58114887,-133.8762456769695,0.6413572006779638,0.2851949865921672,3.578808896276933,325.8980153128456,0.09936713698786641,N/A
2017-06-24 07:00:00,85.2033796,-119.66075214948418,0.65289889980413,0.2861526536890136,3.971608919028896,335.3313560702411,0.09938660863203497,N/A
2017-06-24 08:00:00,84.82561033,-12.794547861479789,0.7048271664820631,0.1815509324981964,2.1152787445519223,347.522470514103,0.09940608027620351,N/A
2017-06-24 09:00:00,84.44784106,-1.471190971181067,0.696749908815609,0.1006808286831183,1.84011839210454,292.7306239412799,0.09942555192037204,N/A
2017-06-24 10:00:00,93.85700254,-31.02472652069295,0.8654538096014908,0.3531803164792041,4.862801246691656,330.6598224681715,0.09944502356454056,N/A
2017-06-24 11:00:00,103.26616402,-16.80328407141582,0.9606320816030304,0.2571808044790568,3.106434266550998,17.928359795235863,0.09946449520870912,N/A
2017-06-24 12:00:00,112.6753255,-5.73855594623767,0.7734481482303177,0.1956054768347402,2.624561426417064,40.57291506048316,0.09948396685287769,N/A
2017-06-24 13:00:00,152.15151996666663,-13.070806271042,0.9073793178872076,0.302467627773465,3.387283546465632,55.85650269268199,0.0995034384970462,N/A
2017-06-24 14:00:00,191.62771443333327,-13.854705469536976,1.0826120552365055,0.3090740260700274,3.193525246660058,90.1170911871014,0.09952291014121477,N/A
2017-06-24 15:00:00,231.1039089,-8.415666345909624,0.9426716063146504,0.2688314831417828,2.743690330900148,91.58278936260623,0.09954238178538333,N/A
2017-06-24 16:00:00,272.5258053,-14.649662997636472,1.186809374223845,0.3120655683177043,2.772732443992036,96.5811679718271,0.09956185342955186,N/A
2017-06-24 17:00:00,313.94770170000004,-14.739551924448492,1.0431197198995772,0.3323902165729425,3.164134886501416,93.62299799405484,0.09958132507372042,N/A
2017-06-24 18:00:00,355.3695981,-15.555041439260886,0.8679989583826769,0.3155365205361375,3.849771157129525,99.63424215079414,0.09960079671788898,N/A
2017-06-24 19:00:00,607.1204394,-22.9352975120477,1.064888870575139,0.3389946348940922,3.832970870875628,112.8773503075238,0.0996202683620575,N/A
2017-06-24 20:00:00,858.8712806999999,-30.04778211464324,1.106945111114026,0.3492660669636855,4.592678728379577,104.97033711080596,0.09963974000622605,N/A
2017-06-24 21:00:00,1110.622122,-50.84468123276943,0.7288826986767871,0.3695780776493689,4.608542301611396,96.55277856245915,0.0996592116503946,N/A
2017-06-24 22:00:00,1278.948527666667,-97.3742747143492,0.6966686870606515,0.3971654823730969,4.571569044962492,102.48439192386564,0.09967868329456313,N/A
2017-06-24 23:00:00,1447.2749333333334,-159.76587614724946,0.628984187197325,0.3289977068072326,3.8580588888502687,98.5195806742199,0.09969815493873169,N/A
2017-06-25 00:00:00,1615.601339,558.6414040389221,0.5048403107645255,0.2576797347141167,3.231161720026108,87.78930616254178,0.0997176265829002,N/A
2017-06-25 01:00:00,1676.6797006666668,59.976175850269655,0.4021247823224652,0.2350757636619874,3.124141401863173,81.68229925453151,0.09973709822706876,N/A
2017-06-25 02:00:00,1737.758062333333,35.985137918914475,0.4006315993207972,0.2333530179393051,3.040511034005127,88.51858715054735,0.09975656987123734,N/A
